王老五	17352714952	341222199703282075
周大老	15155527386	340621199809232811
何开宇	13107017507	350821199806130442
梁山泊	13017109036	420103199807153715
丘临	15278554527	44068119971105603X
潘安	15078265933	450922199611013516
林胡冲	18217922250	452226199612083910
黄荣	15501894141	460006199701078113
崔永圆	15130165615	460006199807291625
赵匡颖	13461737778	130123199611112758
郭德刚	18137911689	410928199803104210
周立波	17775100279	410323199801115536
戴文	15096353213	43122219960125071X
肖萧	13397397915	431021199809161516
施祖	15526366119	430421199811044790
赵钱孙	13975223179	430521199810130262
李天王	15869702750	430981199708264318
秦叔宝	13597246557	430304199807022298
方特	15200258358	43032119980818413x
彭德怀	15874878479	431102199804066372
伍子醉	18797579702	430682199802221015
东飞飞	13787686684	430124199809232517
赵子龙	13397427238	432524199803163446
段誉	18711925126	431128199808214217
李太白	18692833662	430321188910115432
周星星	13808496722	430522199609138314
马化腾	15674157910	432503199805113571
黄兴	15116342452	430121199905197935
谭嗣同	17373966501	430621199810242315
陈鹏	13272384243	430124199903242914
洪七公	13771011789	430522199805286373
邹向前	18870520715	43102519980830121x
魏忠	13786354240	350582199809184530
贾宝玉	18003518805	362202199607123030
杜甫	15353619125	371328199803112515
曾国帆	18308198717	142601199805211319
徐则林	15912128425	610125199711102829
王老二	13077076093	511523199803021731
金库	15558543316	520103199809175655
赵振东	18581140944	530323199708070051
郑和	18874546455	332502199808100637
廖心怡	15073389822	500381199712036049
张三	16408400101	341125199904280010
李四	13549876563	350424199708022015
王五	19876523659	350802199712190525
肖强	18953896568	440883199704032631
陈林	12656656366	440881199802170015
路人	17778995565	452427199804050424
康富	18995558893	450981199708171457
坚强	16889895695	45098119960320091x
广大	16843296233	130204199710221219
鹏程	16841398368	410181199711051519
尔康	13689876526	421281199904130713
明华	18433658934	421181199811061928
甜蜜	13453645786	431382199808060114
栋梁	19036835722	430722199810197130
马哥	18457359239	430321199905298710
清澈	19535353593	430481199801129674
星空	15633553243	430626199610106820
军队	16403562433	430481199710303710
熊二	19863256751	430102199811024014
堂子	16532987410	431228199711284898
智张	10136974552	430921199809035753
只粘	19632587415	430422199909250097
撩拨	19485972837	432503199903074019
近视	14576883356	431021199810211015
波浪	13467894663	430321199709183713
山重	14578935889	430423199812017017
垄断	18934525978	430124199709237978
介绍	19835434527	430626199906042416
将来	10235353532	430521199805051439
忽悠	12342557568	430426199808214834
个月	15846873438	430621199901185424
代谢	14798572457	432524199810186419
养的	10095889745	360302199607243538
士大	10545646592	370783199804134770
斯蒂	19852136489	610403199803112010
新的	10000336669	511324199905053553
幸福	13595698522	533001199801236624
速度	19999966663	530381199611142331
时代	11111123556	330304199802226319
风格	18975463265	500227199712052424
好好好	11111111	22222222
好	1111	2222
nihao 	11111	22222
